,Title,Channel name,Views,Game
1192,Red Dead Redemption [OST] 04 Horseplay,GronkhOSTs,137131,Red Dead Redemption
1194,[Dragon Quest IX Symphonic Suite] Build Up to Victory,Kevin Baker,136534,Dragon Quest
1197,Overwatch 2 Original Soundtrack A New Era,PlayOverwatch,135875,Overwatch 2
1198,Nutty Noon Kirby s Return to Dream Land Soundtrack,Eternal,134403,Kirby s Return to Dream Land
1200,Mario Luigi Superstar Saga Bowser s Minions Ost Teehee Valley,Raphael Savoie,133954,Mario Luigi Superstar Saga Bowser s Minions
1204,Summoner s Call From League of Legends Season 2 ,League of Legends - Topic,133337,League of Legends
1206,Metro on Ice Kirby and the Forgotten Land OST [046],J.O.E. VGM,133114,Kirby and the Forgotten Land
1210,Xenoblade Chronicles OST The Fallen Land,Xenoblade Chronicles OST,130213,Xenoblade Chronicles
1211,Rottytops Shantae and the Pirate s Curse [OST],DeoxysPrime,130205,Shantae and the Pirate s Curse
1213,Introduction Mega Man 3 OST Original Mix ,Yasuaki Fujita - Topic,128843,Mega Man
1214,Doomfist Overwatch Heroes Villains,PlayOverwatch,128567,Overwatch
1218,Super Mario 64 Remastered Koopa s Theme,Church of Kondo,126958,Super Mario 64
1224,Cerebrawl Plants vs Zombies Soundtrack Official ,supershigi,125222,Plants vs Zombies
1225,Borderlands 2 [Soundtrack] 19 Bandit Slaughter Raison Varner ,quadpictures,125209,Borderlands
1231,Main Theme The Legend of Zelda Tri Force Heroes,Superstar 64,122540,The Legend of Zelda
1232,Metroid Samus Returns Music Lower Brinstar,Metroid Music Channel,121953,Metroid Samus Returns
1233,Rayman Legends OST Infernal Pursuit Track 29 ,Ubisoft Music,121805,Rayman Legends
1237,Super Mario 64 Remastered Staff Roll 2022 Update ,Church of Kondo,120444,Super Mario 64
1239,Donkey Kong Country 3 Boss Boogie [Restored],Jammin' Sam Miller,119048,Donkey Kong Country
1240,Super Mario 64 Remastered Snow Mountain,Church of Kondo,118585,Super Mario 64
1241,Title Theme The Legend of Zelda Ocarina of Time OST Remastered,A Gamer To The Past,118268,The Legend of Zelda Ocarina of Time
1242,Faron Woods Restored The Legend of Zelda Twilight Princess,irikachana,117927,The Legend of Zelda
1248,Oasis Overwatch Cities Countries,PlayOverwatch,115868,Overwatch
1249,Alec s Log House Restored MOTHER 3,irikachana,115435,MOTHER 3
1252,The Beast Pack s Final Stand Kirby and the Forgotten Land OST [060],J.O.E. VGM,114921,Kirby and the Forgotten Land
1255,Overwatch 2 Original Soundtrack Paraíso,PlayOverwatch,112911,Overwatch 2
1256,Sniper Elite 4 OST Combat Theme 3,Alessandro Conti,112851,Sniper Elite 4
1259,Kingdom Hearts 1 5 OST Neverland Battle Theme Pirate s Gigue ,Mekkah Dee,112341,Kingdom Hearts
1262,Snowball Scuffle Kirby s Return to Dream Land Soundtrack,Eternal,110643,Kirby s Return to Dream Land
1266,Let s Solve the Mystery Judgment JUDGE EYES Shinigami no Yuigon,Murabito,110240,Judgment
1273,Super Mario 64 Remastered Cave Dungeon,Church of Kondo,108094,Super Mario 64
1274,Donkey Kong Country Aquatic Ambience [Restored] 2023 Mix ,Jammin' Sam Miller,107847,Donkey Kong Country
1275,New Donk City Super Mario Odyssey OST,Dave's OSTs,107770,Super Mario Odyssey
1276,8 P M Animal Crossing New Leaf,Nostalgia OST,107506,Animal Crossing
1277,Donkey Kong Country 3 Dixie Beat [Restored],Jammin' Sam Miller,106673,Donkey Kong Country
1278,Monster Hunter Rise OST — Kamura s Song of Purification Kamura Village Theme ,TheDevilDucker,105660,Monster Hunter Rise
1280,Touhou 7 Alice Margatroid s Theme Doll Judgment ~ The girl who played with people s shapes,Yuuki Tohno Uchiha,105555,Judgment
1281,7 P M Animal Crossing New Leaf,Nostalgia OST,105526,Animal Crossing
1286,Tough Guy Alert Mario Luigi Bowser s Inside Story OST,Cha Chingo Christiano,104414,Mario Luigi Bowser s Inside Story
1295,11 A M Animal Crossing New Leaf,Nostalgia OST,101160,Animal Crossing
1296,Overwatch 2 Original Soundtrack Shambali Monastery,PlayOverwatch,100677,Overwatch 2
1301,Calamari Inkantation Squid Sisters Splatoon OST,Splatoon OSTs - GRG,98224,Splatoon
1303,Wolfgang s 5th Symphony Hi Fi Rush OST Official Soundtrack,OSTVerse ♪,98008,Hi Fi Rush
1307,Gustavo Santaolalla The Choice The Last of Us Video Game Soundtrack ,SonySoundtracksVEVO,97161,The Last of Us
1309,King’s Row Overwatch Cities Countries,PlayOverwatch,96829,Overwatch
1313,Hollywood Overwatch Cities Countries,PlayOverwatch,95289,Overwatch
1314,Enter the Fiery Forbidden Lands Kirby and the Forgotten Land OST [058],J.O.E. VGM,95154,Kirby and the Forgotten Land
1315,The Grand Finale Mario Luigi Bowser s Inside Story OST,Cha Chingo Christiano,94966,Mario Luigi Bowser s Inside Story
1316,9 A M Animal Crossing New Leaf,Nostalgia OST,94912,Animal Crossing
1317,Overwatch 2 Original Soundtrack Esperança,PlayOverwatch,94883,Overwatch 2
1324,Donkey Kong Country 3 Stilt Village [Restored],Jammin' Sam Miller,93559,Donkey Kong Country
1334,Orisa Overwatch Heroes Villains,PlayOverwatch,90843,Overwatch
1335,Havana Overwatch Cities Countries,PlayOverwatch,90569,Overwatch
1338,Spyro Reignited Trilogy Soundtrack Peace Keepers,ObitoTube,89717,Spyro Reignited Trilogy
1341,Motohiro Kawashima Staff Roll Streets of Rage 4 Official Soundtrack,Mutant Ninja Records,88520,Streets of Rage 4
